id,rid,name,displayName,category,type,src,original_ext,folder,tags,colorName,colorHex,year,month
23,MQ3I8F,WhatsApp Image 2025-09-06 at 13.16.24 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.24 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#4a4849,,
24,7V1OIZ,WhatsApp Image 2025-09-06 at 13.16.17,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9d918e,,
25,2IHI0P,WhatsApp Image 2025-09-06 at 13.16.22 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.22 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#79716f,,
26,UKXQXO,WhatsApp Image 2025-09-06 at 13.16.23 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#999888,,
27,HFQDWS,WhatsApp Image 2025-09-06 at 13.16.16 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9a8a7d,,
28,7P9NJ1,WhatsApp Image 2025-09-06 at 13.16.17 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.17 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#817569,,
29,JUQH6W,WhatsApp Image 2025-09-06 at 13.16.16,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.16.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8e857a,,
30,1O56GG,WhatsApp Image 2025-09-06 at 13.16.20,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.20.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",ذهبي,#9c8571,,
31,8XT1IQ,WhatsApp Image 2025-09-06 at 13.16.25 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.25 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#353636,,
32,82XDVA,WhatsApp Image 2025-09-06 at 13.16.24 (2),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.24 (2).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#b1a89c,,
33,TH93OA,WhatsApp Image 2025-09-06 at 13.16.21 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.21 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8c8779,,
34,5HS6K3,WhatsApp Image 2025-09-06 at 13.16.20 (4),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.20 (4).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",ذهبي,#8c7a66,,
35,W636M9,WhatsApp Image 2025-09-06 at 13.16.23,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.23.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#93918d,,
36,DVF5XF,WhatsApp Image 2025-09-06 at 13.16.18 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.18 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#887b6e,,
37,UDMPNC,WhatsApp Image 2025-09-06 at 13.16.19 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.19 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#7f786c,,
38,4ZPXC8,WhatsApp Image 2025-09-06 at 13.16.19,,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.19.jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#8e867b,,
39,P8BRV5,WhatsApp Image 2025-09-06 at 13.16.26 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.26 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9e9c8f,,
40,RUC4TM,WhatsApp Image 2025-09-06 at 13.16.27 (1),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.27 (1).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#a6a8a2,,
41,J4T4ZK,WhatsApp Image 2025-09-06 at 13.16.26 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.26 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#9e9f96,,
42,H726GW,WhatsApp Image 2025-09-06 at 13.16.27 (3),,رخام و سيراميك,image,/cilin/رخام و سيراميك/WhatsApp Image 2025-09-06 at 13.16.27 (3).jpeg,.jpeg,cilin/رخام و سيراميك,"images, رخام و سيراميك",رمادي,#807d76,,
